courier_id,courier_name,ship_class,member_tier,email
C01,Aria Pulsewing,Falcon-3,Gold,aria@nimbus9.space
C02,Boomer Vellichor,Comet-2,Silver,boomer@nimbus9.space
C03,Cricket Holloway,FALCON-3,Bronze,cricket@nimbus9.space
C04, Dax Marigold,Comet-2,Silver,dax@nimbus9.space
C05,Echo Brightspark,Falcon-3,Gold,echo@nimbus9.space
C06,Fennel Quill,comet-2,Bronze,fennel@nimbus9.space
C07,Gully Mossfoot,Nova-1,Silver,gully@nimbus9.space
C08,Halibut Sterling,Falcon-3,Bronze,halibut@nimbus9.space
C09,Indigo Plume,Nova-1,Gold,indigo@nimbus9.space
C10,Juno Ravensong,Comet-2,Silver,juno@nimbus9.space
C11,Kestrel Bay,Falcon-3 ,Bronze,kestrel@nimbus9.space
C12,Lumi Threadgold,Nova-1,Silver,lumi@nimbus9.space
C13,Mox Tinsel,Falcon-3,Gold,mox@nimbus9.space
C14,Nessa Driftwood,Comet-2,Bronze,nessa@nimbus9.space
C15,Orin Pebblegate,Nova-1,Silver,orin@nimbus9.space
C16,Posy Hummingbird,Falcon-3,Gold,posy@nimbus9.space
C17,Quill Sandpiper,comet-2,Bronze,quill@nimbus9.space
C18,Rune Bramblefox,Nova-1,Silver,rune@nimbus9.space
C19,Sable Pinepetal,Falcon-3,Gold,sable@nimbus9.space
C20,Tully Mossback,Comet-2,Bronze,tully@nimbus9.space
